name,kioskId,start_station,total_start_trips,end_station,total_end_trips,totalDocks,percent_car,totalpop,student_ratio,educated_ratio,employed_ratio,logDistRests,within_centerCity,logIntersectionDists,logStationDists,laggedTrips
17th & Green,3204,3204,416,3204,362,22,0.4539908490086426,3234.0,0.011750154570964271,0.06493506473427624,0.7368583774370489,2.470121496024717,0,1.423979024707491,2.7341870267398827,646.4
3rd & Girard,3088,3088,535,3088,569,35,0.48308525033829497,5090.0,0.011394891922603356,0.09528487211142461,0.7218074642007712,2.6477535250146147,0,1.4701952843096886,3.032843018594079,335.4
Frankford & Belgrade,3166,3166,336,3166,357,22,0.48308525033829497,5090.0,0.011394891922603356,0.09528487211142461,0.7218074642007712,2.371955195493244,0,1.721758786292196,2.9301114502864665,340.6
33rd & Diamond,3093,3093,146,3093,132,16,0.36548223350253806,2017.0,0.06742687125717962,0.013882002905889921,0.23748140685433117,3.3077232238352163,0,1.7554783824399287,3.0516738343502348,176.8
29th & Dauphin,3096,3096,73,3096,68,14,0.5902255639097744,3203.0,0.12769278761257324,0.19138307776652175,0.3824539482283673,3.376228825414885,0,1.3877307998653674,3.079934689187043,157.4
"Berks Station, MFL",3097,3097,312,3097,320,18,0.5028571428571429,2382.0,0.013014273664927481,0.06339210720658225,0.6481947915692914,2.7363161710668904,0,1.745179956809821,3.0233475414781235,299.2
2nd & Norris,3226,3226,95,3226,96,18,0.5028571428571429,2382.0,0.013014273664927481,0.06339210720658225,0.6481947915692914,2.9256270328359446,0,1.8538287984397308,3.0517420801572532,294.6
Moyamensing & Tasker,3100,3100,822,3100,923,38,0.6346255974508762,4484.0,0.00847457625228685,0.0684656555118964,0.5441570014626294,2.9822520205341854,0,1.6586918059932265,3.066338246490639,521.0
11th & South,3101,3101,1327,3101,1354,18,0.2598684210526316,2669.0,0.0,0.037092543885003576,0.7159984986287055,2.604153872231732,0,1.7004081624223983,2.7916181270172507,1121.0
Pennsylvania & Fairmount Perelman Building,3102,3102,1178,3102,1145,26,0.48010610079575594,2981.0,0.03622945308208838,0.07514256935544257,0.7014424666171001,2.6352183352743723,0,1.6234235471108627,2.7573183634269696,1277.4
33rd & Dauphin,3106,3106,161,3106,170,17,0.401894451962111,0.0,0.0,0.0,0.0,3.3949572081413706,0,2.086554275635429,3.1171234862835018,173.8
33rd & Reservoir,3107,3107,191,3107,203,18,0.401894451962111,0.0,0.0,0.0,0.0,3.0954682914779084,0,1.746289566478587,3.115582319896886,173.8
"Parkside & Belmont, Case Building",3111,3111,261,3111,266,14,0.401894451962111,23.0,0.0,0.0,0.0,3.40598373568698,0,1.4654264404412134,3.298963640238768,183.0
Philadelphia Zoo,3113,3113,121,3113,113,12,0.401894451962111,23.0,0.0,0.0,0.0,3.1983731377703424,0,1.8797496293345863,3.1597868165448433,232.8
48th & Spruce,3112,3112,312,3112,284,18,0.21773659827928524,3567.0,0.07905803173799261,0.18474908835225934,0.5615363034439689,2.532639836443822,0,1.7501767457203685,3.000555542864558,369.8
"19th & Girard, PTTI",3115,3115,257,3115,197,18,0.6589825119236884,2903.0,0.0,0.12986565577035597,0.4519462609302574,2.9611635339169804,0,1.442047339768905,2.778261474083929,413.6
Ridge & Master,3200,3200,127,3200,124,17,0.6589825119236884,2903.0,0.0,0.12986565577035597,0.4519462609302574,3.0251345911477765,0,1.5796546543814072,2.868717481396435,312.4
Corinthian & Poplar,3211,3211,246,3211,225,22,0.6589825119236884,2903.0,0.0,0.12986565577035597,0.4519462609302574,2.85666795478562,0,1.448573495844319,2.813962489686606,454.2
ParkWest Town Center,3117,3117,77,3117,79,14,0.605868358445678,3829.0,0.05223295886071309,0.05928440830690935,0.37790545735725917,3.4015807746640614,0,1.3555252298280083,3.41959300042681,219.8
"46th Street Station, MFL",3118,3118,316,3118,308,20,0.34478203434610305,3489.0,0.029234737663414334,0.02694181706236223,0.5224992819647484,2.851102107227592,0,1.4690035001988606,3.0588359977654465,479.8
42nd & Lancaster,3119,3119,172,3119,164,17,0.5802707930367504,3527.0,0.09441451631864327,0.07314998561624614,0.3297419894251715,3.193147708335456,0,1.6263896518012042,3.1627538763082295,388.0
31st & Girard,3120,3120,368,3120,379,19,0.6424528301886793,1557.0,0.027617212410936336,0.1387283228084244,0.7848426410735861,2.6944439342236453,0,1.6920011067839742,3.1282530327258455,385.8
22nd & Cecil B. Moore,3123,3123,198,3123,189,16,0.3870967741935484,862.0,0.026682134261228143,0.045243618964691194,0.39559164274255637,3.093643890878285,0,1.6954291967898671,3.045852861867049,223.0
"Thompson & Palmer, Adaire School",3153,3153,282,3153,292,11,0.5609949722148717,7248.0,0.03421633549363089,0.05366997785089683,0.6746688732413509,2.686473751839412,0,1.6697083851061845,3.0209570285553076,351.4
"8th & Mifflin, Bok Building",3157,3157,507,3157,542,18,0.429042904290429,5029.0,0.03678663742933658,0.1246768738821299,0.4599323912111108,2.8463374178808345,0,1.4759946797559167,3.02118308733593,588.8
Broad & Passyunk ,3158,3158,547,3158,539,16,0.4001054296257248,4111.0,0.04402821687173871,0.13524689823583824,0.6059352940745919,2.460360328771589,0,1.529645863066563,2.883794816923216,471.2
38th & Market,3160,3160,741,3160,682,40,0.08862275449101796,2069.0,0.04688255173087215,0.00966650551152003,0.45432575904144146,2.46571820987349,0,1.711444185293406,2.901950360945771,780.4
30th Street Station East,3161,3161,605,3161,587,23,0.401894451962111,0.0,0.0,0.0,0.0,2.820696847619073,0,1.5957337937570921,2.681479935439322,897.8
25th & Locust,3163,3163,961,3163,964,22,0.25556631171345595,1670.0,0.0269461076230772,0.05688622720427409,0.7233532890817168,2.728560037481823,0,1.6261330031081778,2.809015548073687,893.0
12th & Passyunk,3164,3164,496,3164,532,18,0.4150571541190382,5535.0,0.010659439908474363,0.06901535669554588,0.5831978309246652,2.155515793972001,0,1.573072082486283,2.870396408440907,550.2
Crescent Park,3181,3181,146,3181,108,20,0.401894451962111,0.0,0.0,0.0,0.0,3.121892654154082,0,1.4760614396638807,3.419610953342941,304.2
15th & Kitty Hawk,3183,3183,102,3183,118,20,0.401894451962111,0.0,0.0,0.0,0.0,3.0592220316676872,0,1.352667957865649,3.528784501617115,313.0
17th & Sansom,3182,3182,793,3182,771,21,0.2716049382716049,1682.0,0.002972651587558552,0.04518430413088999,0.7954815648306685,2.0436445358590998,1,1.8770590242892995,2.6459480792687304,1017.2
"Broad & Pattison, BSL",3188,3188,348,3188,361,30,0.401894451962111,0.0,0.0,0.0,0.0,3.319643582085975,0,1.8542708371770675,3.3289961575726634,263.8
17th & Locust,3190,3190,1551,3190,1522,30,0.2047853624208304,2532.0,0.0,0.007503949417440958,0.8076619241403556,2.262783584542351,1,1.760217888668313,2.6700416990841034,1207.0
25th & Diamond,3196,3196,91,3196,90,17,0.6582388840453357,5061.0,0.04663110048087117,0.10393202903787388,0.2811697287469478,3.2792800309546535,0,1.538293279328331,3.112212456544162,153.8
Broad & Ritner,3197,3197,385,3197,434,23,0.6178371391641534,5199.0,0.03366031922742774,0.19734564301337634,0.5485670310664224,2.9027992062735075,0,1.661857220765598,2.9980590440772508,411.6
Broad & Oregon,3237,3237,139,3237,136,21,0.6178371391641534,5199.0,0.03366031922742774,0.19734564301337634,0.5485670310664224,3.105517244661265,0,1.6911956759358329,3.141804378959019,460.8
Broad & Diamond,3210,3210,490,3210,491,18,0.2735202492211838,4242.0,0.0895803863989147,0.03536067884167685,0.4165487967549534,2.3939504623317958,0,1.5755418828626813,3.091365870547703,329.4
24th & Pennsylvania ,3236,3236,235,3236,272,18,0.563391442155309,2925.0,0.008547008517788005,0.044102563951786106,0.5217093999257798,2.607715680242594,0,1.3941539112429404,2.637992101386297,1466.0
6th & S Washington Square,3238,3238,412,3238,393,22,0.42671009771986973,2809.0,0.0007119971494766922,0.02385190450746919,0.5012459932315912,2.6831131549639498,0,1.4508482874448778,2.8108570148567353,913.0
52nd & Larchwood - Malcolm X Park,3241,3241,30,3241,29,20,0.336,4045.0,0.0257107539537435,0.059332509124023464,0.5414091457567141,2.9581482479709464,0,2.231044013651221,3.2117890896767185,426.2
